GSM_ID,100152367_TGI_at,100148025_TGI_at,100147415_TGI_at,100142646_TGI_at,100131664_TGI_at,100159841_TGI_at,100122391_TGI_at,100146289_TGI_at,100160445_TGI_at,100121818_TGI_at,100149328_TGI_at,100139653_TGI_at,100122717_TGI_at,100137227_TGI_at,100141545_TGI_at,100147092_TGI_at,100142419_TGI_at,100152115_TGI_at,100155952_TGI_at,100156268_TGI_at,100158086_TGI_at,100130781_TGI_at,100149348_TGI_at,100152725_TGI_at,100134865_TGI_at,100134610_TGI_at,100146924_TGI_at,100125753_TGI_at,100152843_TGI_at,100148916_TGI_at,Type
GSM616724,2.0985139999999998,23.19344,2.579495,3.498498,12.29942,32.70373,8.389789,15.068320000000002,25.07775,4.4421230000000005,22.04477,5.451333,2.42774,1.00075,9.575036,27.18478,14.787120000000002,19.56441,6.954016,3.683756,3.08521,6.092004,5.318842,25.44708,0.379718,14.56839,26.39461,6.98252,1.140262,8.468073,2
GSM616725,25.00844,24.67943,13.3761,7.803542999999999,14.91494,20.44359,11.85045,10.56206,23.3988,17.6878,10.97082,32.82133,6.3275489999999985,19.17519,9.935893,9.959342,34.40305,16.479770000000002,13.99988,20.07665,8.401156,22.95402,6.335928,16.40075,28.49353,9.890409,14.71127,9.847098,10.05361,18.08814,2
GSM616726,17.59789,30.38757,21.22183,4.167141,15.74621,24.42135,16.33759,10.81119,21.03193,18.89428,9.14854,35.77103,3.4376269999999995,15.03062,12.8977,5.49338,29.61278,18.10082,21.85298,25.23435,19.36024,19.31578,8.671664999999999,14.31084,29.01788,6.204484,11.74301,11.25839,6.291945,19.95834,2
GSM616727,8.848192999999998,31.72416,6.554685000000001,4.075798000000002,11.58624,31.136440000000004,12.81575,11.63883,23.75215,14.51786,21.16315,27.39214,9.850927,7.1033979999999985,10.70518,22.05138,24.5915,21.34466,18.6517,14.93518,3.625623000000001,19.83462,9.826728,18.35552,11.72733,7.955802,21.8245,13.96236,9.144519,19.03701,2
GSM616728,25.67536,30.03761,4.817938,10.32191,14.07716,30.40126,6.554083,6.6811630000000015,18.41726,11.38155,20.08653,12.88213,10.83704,17.03654,10.82013,20.47555,34.24636,21.11782,17.5996,7.280222,10.24172,20.14002,7.877598,17.3798,12.95572,10.89137,19.4809,15.2505,2.880884,15.5616,2
GSM616729,18.221770000000003,24.8435,5.282898,4.892163,16.30876,27.18131,11.30434,8.933396,27.69896,15.16579,15.40092,17.81935,2.627816,7.683488,10.00949,13.979779999999998,28.01658,14.40267,12.15002,9.496663,2.966491,16.37171,6.905222,19.27332,11.77694,7.733414,21.66747,4.581386,16.60514,15.11234,2
GSM616730,0.05019763,22.94116,1.076026,2.488076,1.0891540000000002,35.67371,3.308276,17.42159,11.26497,0.338604,31.89132,1.186586,0.1200271,0.3069217,10.29719,47.6893,3.402942,16.9981,0.5977621,1.136996,1.223287,1.267082,5.371358,31.02407,0.08281533,10.70007,30.29454,6.651468,0.2367391,5.010162,2
GSM616731,16.6632,20.88024,11.93307,7.592988,16.69239,30.25867,10.04096,19.32196,20.01774,17.53181,16.12477,8.416107,2.855256,7.342060000000001,11.63444,10.77973,35.49942,22.27887,23.839270000000006,17.123070000000002,0.6006996,18.49169,5.294263,16.24544,30.5672,1.208614,18.03612,15.39896,22.93491,16.943920000000002,2
GSM616732,16.64807,23.70006,7.562133999999999,4.164351,14.48403,32.29508,10.91387,15.3749,26.39691,13.26239,20.66495,29.18337,6.981205,5.435907,9.241651,22.3302,33.87664,23.4536,18.43856,9.768862,5.710353,15.55765,6.206316,25.54696,6.998129,8.969237,19.80998,14.023879999999998,9.483529,12.31473,2
GSM616733,28.39033,30.93361,22.42167,10.01431,14.85964,21.50306,13.84152,5.959879,23.41592,14.16886,16.48369,29.261090000000006,9.438027,15.190929999999998,7.21381,12.42042,36.06497,19.03992,20.97315,17.281,9.174188,23.08731,9.442483,9.662964,21.54046,7.293139,13.39882,16.40576,3.944492,21.31,2
GSM616734,0.9293454,39.42637,5.1800169999999985,6.7155960000000015,10.85852,27.33826,12.55538,13.59449,27.50185,4.850034,33.40752,24.61337,2.480113,0.7243512,8.007396,44.35027,23.27195,26.52965,5.809837,7.574737,0.4095007,4.270153,19.71422,20.99469,7.247994,4.867384,28.376240000000006,5.845111,10.20095,14.945620000000002,2
GSM616735,1.693008,26.4801,14.80061,4.084063,4.380173,29.49874,11.1381,22.47577,24.92455,2.494578,22.10286,13.89707,0.7373689999999999,0.4371423,7.058344,25.08103,12.42912,19.60861,11.22242,2.94948,7.0315759999999985,7.829299000000002,10.50577,15.57318,5.4296440000000015,0.8357503000000001,23.15746,10.57074,3.659524,15.38217,2
GSM616736,9.603539999999999,16.73165,3.978835,3.4193290000000003,18.43485,20.94276,11.88212,13.71904,29.31213,6.702147999999998,22.21791,35.73559,7.244994,1.545839,9.897534,22.92251,32.6124,17.728379999999994,17.76473,9.86691,17.04701,20.23304,4.182254,14.221470000000002,0.7857187,5.354585,23.43391,4.344378,6.458903,16.56017,2
GSM616737,5.423082,19.59653,3.736691,6.106433,9.123509,22.74904,14.89209,7.43343,29.31748,11.50208,25.78576,26.58488,6.205737,2.611322,6.829425,29.11916,26.07792,14.12191,14.52949,9.051855,18.11337,18.68558,2.87898,11.7247,10.78596,7.427378999999998,25.18821,6.105812,5.304842,16.23281,2
GSM616738,0.3231007,19.84634,10.42868,5.061145,7.5915240000000015,27.57288,4.743047,19.27734,12.91179,3.985104,28.20896,11.88819,1.831011,1.370466,7.397129,34.42748,14.45558,21.75457,3.595739,4.38975,4.4702199999999985,11.95406,4.720389,17.196189999999998,0.5772695999999999,10.46018,24.71809,10.4304,1.028803,11.34767,2
GSM616739,1.004326,25.29691,2.761129,2.801041,1.570558,32.021190000000004,7.242845,22.83774,11.62636,1.500717,25.97709,0.7072828,0.1518662,0.1762598,14.07979,27.30245,4.09211,24.54827,3.129381,0.6844140999999999,0.2663643,0.5889390999999999,6.793921000000001,21.27659,0.323421,16.19193,24.56116,20.00215,0.1244354,4.972032,2
GSM616740,20.6711,30.4781,4.1753860000000005,11.00294,16.01361,27.293440000000004,3.473434,8.456512,9.974972,18.15343,17.08544,26.90356,12.31671,19.12945,10.02035,12.38614,33.88885,20.64992,19.27969,15.93193,8.254945,24.27514,8.261747,16.16808,24.47347,8.797407000000002,14.765720000000002,24.69353,8.414508,19.80539,2
GSM616741,13.10215,29.87055,9.949736,4.485311,19.30796,27.16505,16.25992,9.586123,27.410940000000004,18.16128,13.584929999999998,27.98664,11.27542,12.25194,11.55389,13.75278,34.998290000000004,15.41734,22.647070000000006,16.94148,16.154410000000002,21.40932,7.456574000000002,14.66244,12.88331,5.454961,15.01191,13.81412,11.57885,17.84317,2
GSM616742,7.791794,34.2999,10.27306,8.366772000000001,18.13157,27.73223,11.53092,13.35687,26.34902,12.15075,19.01414,24.82705,7.578902999999999,5.165344,9.194736,19.47738,33.64476,22.00381,23.97743,5.658023,1.436862,20.3555,4.581441000000001,17.10305,6.6251690000000005,10.86526,19.97643,11.81291,8.812572,13.36387,2
GSM616743,20.41735,24.32771,8.457614,4.581272,17.17316,20.84459,10.0471,8.907548,26.23276,17.41617,10.02115,35.10463,3.166586,19.65089,12.30897,5.744553,31.29636,12.73748,20.73751,18.12843,19.7116,22.75339,5.6066,14.86459,18.21647,3.699695,12.81345,7.1504330000000005,20.22111,18.89399,2
